id,name,name_ascii,iso3c,lon,lat,population,built_up,metropole,closest_metro,dist_to_metro,port_locode,port_name,port_status,outflows,city_country
27,Abéché,abeche,TCD,20.8324,13.82916,194141.797886032,65.3539314711975,No,Ndjamena/Kousseri [TCD],627.310906791222,,,,,abeche - TCD
1134,Am Timan,am timan,TCD,20.28342,11.0433,116217.744045544,18.2583404029149,No,Ndjamena/Kousseri [TCD],552.095542796808,,,,,am timan - TCD
1468,Bafia,bafia,CMR,11.23333,4.75,107018.126875407,19.0821405748046,No,Yaounde,95.3830295023694,,,,,bafia - CMR
1470,Bafoussam,bafoussam,CMR,10.41759,5.47775,1418331.53539011,1756.96424194506,No,Douala,162.917519389613,,,,,bafoussam - CMR
1550,Bambari,bambari,CAF,20.67565,5.76795,96147.3172368317,14.0162618690672,No,Bangui,266.81329581558,,,,,bambari - CAF
1584,Bangassou,bangassou,CAF,22.81838,4.74132,60303.9198865452,10.7678259526738,No,Bangui,445.44985330152,,,,,bangassou - CAF
1589,Bangui,bangui,CAF,18.55496,4.36122,1606979.16357876,168.823285742525,Yes,0,0,,,,,bangui - CAF
1710,Bata,bata,GNQ,9.76582,1.86391,375069.860900754,72.7229170937035,Yes,0,0,GQBSG,Bata,RQ,454067,bata - GNQ
1832,Berbérati,berberati,CAF,15.79216,4.26116,104474.448759496,16.503427201645,No,Bangui,286.672087956994,,,,,berberati - CAF
1846,Bertoua,bertoua,CMR,13.68459,4.57728,345365.807885422,88.2081073163912,No,Yaounde,230.413905391037,,,,,bertoua - CMR
2018,Bol,bol,TCD,14.71352,13.46729,90244.3560199552,4.38985859890638,No,Ndjamena/Kousseri [TCD],155.33797586263,,,,,bol - TCD
2042,Bongor,bongor,TCD,15.37425,10.28088,174932.893358645,18.1691680712639,No,Ndjamena/Kousseri [TCD],205.541428840164,,,,,bongor - TCD
