from,from_ctry,to,to_ctry,sp_distance,distance,duration_100kmh,duration_65kmh,border_dist,border_time,total_dist,total_time_100kmh,total_time_65kmh,rugg,pop_wpop,pop_wpop_km2,cost_km
20,GAB,1,GAB,162206.8367611,195904.420184061,117.542652110436,180.834849400671,0,0,195904.420184061,117.542652110436,180.834849400671,6267.13671875,25705.90625,23.499331479248,402842.482099188
40,GAB,3,GAB,241324.904098506,291458.833409232,174.875300045539,269.038923146983,0,0,291458.833409232,174.875300045539,269.038923146983,22103.98828125,6430.2607421875,3.71741535244486,407389.826949478
10,GNQ,4,GAB,162919.60861372,196765.26649177,118.059159895062,181.629476761634,1632187.5,5862,1828952.76649177,5980.05915989506,6043.62947676164,58857.390625,47309.8515625,42.5120735451238,553435.234189521
22,CMR,6,CMR,124113.601300131,149897.523342179,89.9385140053071,138.366944623549,0,0,149897.523342179,89.9385140053071,138.366944623549,78592.2578125,21662.951171875,25.5331996550307,549384.677957938
16,GNQ,10,GNQ,148271.837859224,179074.501454074,107.444700872445,165.299539803761,0,0,179074.501454074,107.444700872445,165.299539803761,35392.453125,30044.166015625,30.1307042247411,506056.716451112
18,CMR,10,GNQ,136818.823151926,165242.185564102,99.1453113384612,152.531248213017,1701289.0625,8206.5,1866531.2480641,8305.64531133846,8359.03124821302,57915.1875,29567.41015625,31.8864782506016,539374.518471454
16,GNQ,12,GNQ,77086.8293491119,93101.1966512071,55.8607179907243,85.9395661395758,0,0,93101.1966512071,55.8607179907243,85.9395661395758,10039.099609375,14751.669921875,28.4812905637034,433035.674859782
28,GAB,12,GNQ,81752.6215349407,98736.2816520344,59.2417689912206,91.1411830634163,1632187.5,5862,1730923.78165203,5921.24176899122,5953.14118306342,10175.7861328125,17082.79296875,31.108623678176,436897.795333306
45,CMR,13,CMR,118906.070754416,143608.156799314,86.1648940795885,132.561375507059,0,0,143608.156799314,86.1648940795885,132.561375507059,79843.140625,92700.671875,113.988900583566,623495.207712661
53,NGA,14,NGA,119299.180087683,144082.932447125,86.4497594682747,132.999629951192,0,0,144082.932447125,86.4497594682747,132.999629951192,117632.6640625,67953.078125,83.8738402563239,636528.688914853
21,GAB,16,GNQ,123034.94713667,148594.78467412,89.1568708044723,137.164416622265,1632187.5,5862,1780782.28467412,5951.15687080447,5999.16441662227,61986.0703125,3107.97338867188,3.65934483888381,460565.876907908
45,CMR,23,CMR,103068.304051554,124480.180661635,74.6881083969812,114.904782149202,0,0,124480.180661635,74.6881083969812,114.904782149202,87854.453125,30627.72265625,43.8812233562552,582218.505227691
35,CMR,24,CMR,57494.956459318,69439.2192929547,41.6635315757728,64.0977408858043,0,0,69439.2192929547,41.6635315757728,64.0977408858043,25797.66015625,27312.41796875,69.8232105611553,522472.477642398
