lon,lat,iso3c,city_country,city_port,population,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,product
8.781525,-0.719322,GAB,port-gentil - GAB,TRUE,185490.928624373,69.2332287468298,617395678.939021,12842135.8919131,GAPOG,Port Gentil,AI,148566.9,3
9.45433,0.392626,GAB,libreville - GAB,TRUE,1114617.9205292,64.2533405221019,3443087480.00557,71617924.7997998,GALBV,Libreville,AI,414222.00003,5
10.6900301,-1.61629,GAB,"",FALSE,0,23.1045476307667,0,0,"","","",0,1
9.8881998,0.40386,GAB,"",FALSE,0,24.3959108720963,0,0,"","","",0,1
9.4839201,4.6536598,CMR,kumba - CMR,FALSE,274251.248922742,53.2280580739407,701803549.561477,14597861.4045104,"","","",0,6
9.7191801,4.7216001,CMR,loum - CMR,FALSE,146202.236536265,54.3337151641108,381900073.911264,7943710.67631736,"","","",0,4
9.7883997,7.85706,NGA,"",FALSE,0,50.0506598617938,0,0,"","","",0,1
9.704361,4.048275,CMR,douala - CMR,TRUE,4139037.99484283,66.7423419366737,13280889984.4846,276249089.140684,CMDLA,Douala,AI,1089387.80006,7
10.10923,3.81478,CMR,edea - CMR,FALSE,84274,56.9610281399214,230779778.365141,4800333.68546373,"","","",0,2
9.765828,1.863912,GNQ,bata - GNQ,TRUE,375069.860900754,61.9964934126871,1117906851.37612,23253016.1606311,GQBSG,Bata,RQ,454067,8
9.907671,2.937265,CMR,kribi - CMR,TRUE,139726.879616139,59.9551486071238,402747421.539529,8377345.8317953,CMKBI,Kribi,AI,1338743.54556,9
11.0017595,1.6778599,GNQ,mengomeyen - GNQ,FALSE,10291.0693602278,22.6469451153519,11204602.5871795,233061.282979359,"","","",0,1
10.417639,5.477679,CMR,bafoussam - CMR,TRUE,1418331.53539011,54.3739600794063,3707618560.47687,77120302.2846648,"","","",0,10
11.3106298,8.9040794,NGA,"",FALSE,0,41.5794362588064,0,0,"","","",0,1
10.4113894,-0.24969,GAB,"",FALSE,0,29.6515334612707,0,0,"","","",0,1
10.795319,1.016035,GNQ,Medounou - GAB,TRUE,0,48.8168003043174,0,0,"","","",0,1
10.1261997,3.4361398,CMR,"",FALSE,0,29.5695457544034,0,0,"","","",0,1
10.5479898,2.8142998,CMR,"",FALSE,0,34.6174379187322,0,0,"","","",0,1
10.5248098,3.85636,CMR,"",FALSE,0,36.9335943293525,0,0,"","","",0,1
10.240261,-0.699501,GAB,lambarene - GAB,TRUE,51548.4958707443,44.2374644712455,109630791.304401,2280374.7546282,"","","",0,2
10.9577293,-0.07846,GAB,"",FALSE,0,23.8912930223913,0,0,"","","",0,1
10.8377495,4.7785001,CMR,makenene - CMR,FALSE,48967.9640912569,36.8861242034851,86836317.2646475,1806238.4054619,"","","",0,1
10.90411,5.8210897,CMR,foumban - CMR,FALSE,180715.137622366,36.8372368276155,320042683.621045,6657046.32293021,"","","",0,4
10.8100796,4.4519897,CMR,"",FALSE,0,29.4140283733548,0,0,"","","",0,1
10.8252296,3.87113,CMR,eseka - CMR,FALSE,26579.7797320302,34.8036640028052,44473639.2859896,925073.72306215,"","","",0,1
10.8318396,2.80825,CMR,"",FALSE,0,21.6106596636607,0,0,"","","",0,1
11.358396,-2.40053,GAB,ndende - GAB,TRUE,10269.4485091619,36.2647866328055,17904350.5650649,372419.359021339,"","","",0,1
11.2579899,0.98871,GAB,"",FALSE,0,23.6235225190856,0,0,"","","",0,1
11.3172693,1.6293399,GNQ,"",FALSE,0,50.5899155336298,0,0,"","","",0,1
11.0112896,4.2733197,CMR,monatele - CMR,FALSE,26185.3621297611,29.1692612527964,36720648.2104454,763807.668962082,"","","",0,1
10.8997297,3.9534199,CMR,"",FALSE,0,34.421129552294,0,0,"","","",0,1
11.1500101,2.9010398,CMR,ebolowa i - CMR,FALSE,71120.3027912351,58.8825558567211,201329110.185291,4187745.20165182,"","","",0,2
11.516925,3.866788,CMR,yaounde - CMR,TRUE,5473116.69939264,61.6783182312002,16229067112.054,337572633.501636,"","","",0,11
11.0307493,2.5671699,CMR,"",FALSE,0,23.7314194544576,0,0,"","","",0,1
11.233892,4.750141,CMR,bafia - CMR,TRUE,107018.126875407,56.2577741985226,289445108.989343,6020601.61690549,"","","",0,4
11.5215797,4.1286998,CMR,"",FALSE,0,47.2132674231036,0,0,"","","",0,1
11.2000599,6.5863299,NGA,"",FALSE,0,23.5640458156064,0,0,"","","",0,1
11.4886093,6.0801997,CMR,bankim - CMR,FALSE,21092.3792361838,48.4903842992829,49170828.015201,1022777.57494877,"","","",0,1
11.4499493,0.35482,GAB,"",FALSE,0,24.6084373628492,0,0,"","","",0,1
12.708589,-0.817882,GAB,lastoursville - GAB,TRUE,15925.5515698234,28.9219651239633,22143619.2444109,460598.247082311,"","","",0,1
11.3366795,2.1724999,CMR,bitam - GAB,FALSE,80169.8524098465,49.7119836212941,191601322.013671,3985402.38991985,"","","",0,2
11.3987398,2.9416099,CMR,"",FALSE,0,35.989804730622,0,0,"","","",0,1
11.37848,7.80269,NGA,"",FALSE,0,20.2978890632107,0,0,"","","",0,1
11.5749798,6.2867699,CMR,mayo-darle - CMR,FALSE,19459.6703042637,27.6775168161235,25893390.7779126,538595.352082478,"","","",0,1
11.3942499,5.033,CMR,"",FALSE,0,21.4276726170787,0,0,"","","",0,1
11.6239901,4.45331,CMR,ntui - CMR,FALSE,38496.9230736977,39.1395367626388,72438262.5135639,1506751.73589147,"","","",0,1
11.5485697,0.78783,GAB,mitzic - GAB,FALSE,11637.3076462173,25.3228390016027,14167435.1637271,294689.667937281,"","","",0,1
11.6136293,1.40861,GAB,"",FALSE,0,21.8190986327782,0,0,"","","",0,1
12.0360594,9.4568796,NGA,"",FALSE,0,44.3513899976176,0,0,"","","",0,1
11.580106,1.599523,GAB,oyem - GAB,TRUE,117355.615343071,47.4419394134149,267665645.646653,5567577.99293,"","","",0,4
12.0939293,2.362,CMR,"",FALSE,0,18.6803899301087,0,0,"","","",0,1
