from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km
1,GAB,2,GAB,144514.153396232,152625,1484.48333333333,6.1688129427747,100,91.575,0,0,1484.48333333333,91.575,8439.5654296875,131034.515625,127.729218695731,480717.375007306,Upgrade,407007.377506186
1,GAB,3,GAB,234443.888792812,375681.5,399.408333333333,56.4357028104071,100,225.4089,0,0,399.408333333333,225.4089,10310.5732421875,22364.046875,9.4520332711395,397772.593564483,Upgrade,336780.795884595
2,GAB,4,GAB,48259.2005854514,57539,69.9916666666667,49.3250148827242,100,34.5234,0,0,69.9916666666667,34.5234,25234.94140625,355568.15625,1026.0552244142,654085.620701547,Upgrade,553792.492193977
5,CMR,6,CMR,27144.7026991107,35682,25.6166666666667,83.5752765126871,100,21.4092,0,0,25.6166666666667,21.4092,87975.0078125,45126.58203125,206.885917857105,740490.506163646,Resurfacing,175249.419792063
5,CMR,7,NGA,357788.364718077,493932,346.691666666667,85.4820661971493,100,296.3592,1944034.6875,7592.57175,7939.26341666667,7888.93095,27761.794921875,1015322.375,297.154516514323,595593.674128547,Resurfacing,140957.169543756
5,CMR,8,CMR,71615.5844900317,106278.5,96.7416666666667,65.9148247049703,100,63.7671,0,0,96.7416666666667,63.7671,21207.6171875,1095948.375,1727.77423636841,669569.452880411,Mixed Works,360451.555467287
8,CMR,9,CMR,51877.9666250696,64862,53.7416666666667,72.4153202046829,100,38.9172,0,0,53.7416666666667,38.9172,4752.40625,1140426.5,2870.9366368129,584229.311973549,Mixed Works,314510.11294576
6,CMR,8,CMR,74888.4774409911,99302.5,73.2916666666667,81.2936895963616,100,59.5815,0,0,73.2916666666667,59.5815,30787.623046875,946803.625,1591.03148193678,695312.25294577,Resurfacing,164557.233197165
6,CMR,9,CMR,109718.392696023,153232,112.433333333333,81.7721909279573,100,91.9392,0,0,112.433333333333,91.9392,22228.517578125,37796.69140625,43.0604433107404,492926.613179841,Resurfacing,116659.298452562
10,GNQ,11,CMR,120387.388709017,293002.5,342.925,51.2652912444412,100,175.8015,1701289.0625,8206.5,8549.425,8382.3015,31886.25,94966.7109375,52.1217373838285,522985.212933671,Upgrade,442794.146950508
10,GNQ,12,GNQ,138912.98681351,177555.5,97.4,109.377104722793,109.377104722793,97.4,0,0,97.4,97.4,37873.453125,56312.3125,50.4294961554627,532429.468445389,Nothing,0
7,NGA,13,CMR,273548.991091695,374774,336.6,66.8046345811052,100,224.8644,1944034.6875,7592.57175,7929.17175,7817.43615,109980.4453125,849380.3125,350.345102248004,712449.509362697,Mixed Works,383535.319206918
7,NGA,14,NGA,203949.567615022,212430.5,132.691666666667,96.0559944734033,100,127.4583,0,0,132.691666666667,127.4583,14299.5947265625,290015.03125,199.537045996526,531782.746447284,Resurfacing,125855.249992524
4,GAB,15,GAB,93089.062575943,110264,68.8333333333333,96.1138983050848,100,66.1584,0,0,68.8333333333333,66.1584,11812.4912109375,2285.75756835938,3.35632725241513,375331.552400265,Resurfacing,89297.0856621316
4,GAB,16,GNQ,121680.637572625,163108,110.05,88.9275783734666,100,97.8648,1632187.5,5862,5972.05,5959.8648,51362.203125,7025.6806640625,7.62115710417413,474470.442467594,Resurfacing,112291.338050664
11,CMR,17,CMR,60546.01155595,67550,42.3833333333333,95.6272119543846,100,40.53,0,0,42.3833333333333,40.53,20073.775390625,43513.72265625,102.687996173472,523674.300445386,Resurfacing,123936.251105408
11,CMR,18,CMR,72413.2347656506,86186,60.1333333333333,85.9949002217295,100,51.7116,0,0,60.1333333333333,51.7116,15919.9296875,39849.27734375,75.6023748645901,496366.405460292,Resurfacing,117473.382625602
9,CMR,19,CMR,46338.1676623705,52385.5,32.825,95.7541507996954,100,31.4313,0,0,32.825,31.4313,15180.203125,23166.201171875,67.0606729186673,488605.49095023,Resurfacing,115636.632858221
9,CMR,17,CMR,42145.0291938376,48312.5,30.2416666666667,95.8528520253513,100,28.9875,0,0,30.2416666666667,28.9875,15599.9248046875,29244.154296875,93.1957362178937,562533.774329973,Resurfacing,133132.993258093
17,CMR,18,CMR,83511.9872864588,111033,93.7333333333333,71.0737553342817,100,66.6198,0,0,93.7333333333333,66.6198,24956.328125,20063.806640625,32.2218775514445,487968.278050938,Mixed Works,262689.589684088
15,GAB,20,GAB,53513.929726324,75229.5,52.425,86.0995708154507,100,45.1377,0,0,52.425,45.1377,6361.287109375,7616.107421875,18.5779189918804,395944.584702673,Resurfacing,93706.8850462989
3,GAB,20,GAB,113544.703238711,137911,96.8916666666667,85.4011524898942,100,82.7466,0,0,96.8916666666667,82.7466,16393.54296875,8647.2919921875,9.88784491165496,421997.283737615,Resurfacing,99872.6904845687
15,GAB,21,GAB,63663.8644098679,94476.5,65.2083333333333,86.9304536741214,100,56.6859,0,0,65.2083333333333,56.6859,35103.828125,4154.90869140625,8.51330064269396,457098.235082539,Resurfacing,108179.915636201
13,CMR,22,CMR,90603.9962545735,111652.5,80.0333333333333,83.7044981257809,100,66.9915,0,0,80.0333333333333,66.9915,69477.234375,135699,204.401479461329,644171.132887477,Resurfacing,152453.834783369
13,CMR,23,CMR,65998.8493760484,79399.5,63.0166666666667,75.5985718064004,100,47.6397,0,0,63.0166666666667,47.6397,77298.7578125,232137.921875,476.197453650661,700936.853696371,Mixed Works,377337.672906545
19,CMR,24,CMR,73399.3641500062,95314,79.4,72.0256926952141,100,57.1884,0,0,79.4,57.1884,17043.71484375,9797.6982421875,17.5438099414095,443601.980482443,Mixed Works,238805.732826381
19,CMR,25,CMR,33369.7238240628,36363,24.35,89.6008213552361,100,21.8178,0,0,24.35,21.8178,16066.7177734375,12427.5810546875,50.8776090583237,536618.698698801,Resurfacing,126999.758692049
