from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km
1,GAB,2,GAB,144514.153396232,160657.894736842,674.333333333333,14.2948200952208,90,107.105263157895,0,0,674.333333333333,107.105263157895,8439.5654296875,131034.515625,127.729218695731,606691.813215853,Upgrade: <60km/h,513665.735189422
1,GAB,3,GAB,234443.888792812,395454.210526316,374.508333333333,63.355740099007,90,263.636140350877,0,0,374.508333333333,263.636140350877,10310.5732421875,22364.046875,9.4520332711395,451062.933539086,Mixed Works: 60-80km/h,242822.212555208
2,GAB,4,GAB,48259.2005854514,60567.3684210526,63.3416666666667,57.3720632326771,90,40.3782456140351,0,0,63.3416666666667,40.3782456140351,25234.94140625,355568.15625,1026.0552244142,807770.140644733,Upgrade: <60km/h,683912.05241254
5,CMR,6,CMR,27144.7026991107,37560,63.1416666666667,35.6911706480137,90,25.04,0,0,63.1416666666667,25.04,87975.0078125,45126.58203125,206.885917857105,1340460.25200742,Upgrade: <60km/h,1093338.61536697
5,CMR,7,NGA,357788.364718077,519928.421052632,539.925,57.77784926269,90,346.618947368421,1944034.6875,7592.57175,8132.49675,7939.19069736842,27761.794921875,1015322.375,297.154516514323,1202438.02796346,Upgrade: <60km/h,1018064.19700906
5,CMR,8,CMR,71615.5844900317,111872.105263158,190.125,35.3048063946849,90,74.5814035087719,0,0,190.125,74.5814035087719,21207.6171875,1095948.375,1727.77423636841,1296746.65062263,Upgrade: <60km/h,1093338.61536697
8,CMR,9,CMR,51877.9666250696,68275.7894736842,96.8333333333333,42.3051363348129,90,45.5171929824561,0,0,96.8333333333333,45.5171929824561,4752.40625,1140426.5,2870.9366368129,893481.604200546,Upgrade: <60km/h,756481.091556461
6,CMR,8,CMR,74888.4774409911,104528.947368421,155.458333333333,40.3435229725345,90,69.6859649122807,0,0,155.458333333333,69.6859649122807,30787.623046875,946803.625,1591.03148193678,1271647.92691936,Upgrade: <60km/h,1076661.91145839
6,CMR,9,CMR,109718.392696023,161296.842105263,211.558333333333,45.745352470079,90,107.531228070175,0,0,211.558333333333,107.531228070175,22228.517578125,37796.69140625,43.0604433107404,788567.449277037,Upgrade: <60km/h,667653.773721223
10,GNQ,11,CMR,120387.388709017,308423.684210526,459.808333333333,40.2459453452669,90,205.615789473684,1701289.0625,8206.5,8666.30833333333,8412.11578947369,31886.25,94966.7109375,52.1217373838285,669057.94050683,Upgrade: <60km/h,566469.056295783
10,GNQ,12,GNQ,138912.98681351,186900.52631579,113.233333333333,99.0347210386874,99.0347210386874,113.233333333333,0,0,113.233333333333,113.233333333333,37873.453125,56312.3125,50.4294961554627,684005.410609381,Nothing: >90km/h,0
7,NGA,13,CMR,273548.991091695,394498.947368421,643.066666666667,36.8079051038336,90,262.999298245614,1944034.6875,7592.57175,8235.63841666667,7855.57104824561,109980.4453125,849380.3125,350.345102248004,1508470.17227557,Upgrade: <60km/h,1093338.61536697
7,NGA,14,NGA,203949.567615022,223611.052631579,223.866666666667,59.9314911758252,90,149.074035087719,0,0,223.866666666667,149.074035087719,14299.5947265625,290015.03125,199.537045996526,931449.697467822,Upgrade: <60km/h,788627.410522755
4,GAB,15,GAB,93089.062575943,116067.368421053,89.8333333333333,77.5218045112782,90,77.3782456140351,0,0,89.8333333333333,77.3782456140351,11812.4912109375,2285.75756835938,3.35632725241513,383919.045000118,Mixed Works: 60-80km/h,215101.998166043
4,GAB,16,GNQ,121680.637572625,171692.631578947,139.325,73.939048230661,90,114.461754385965,1632187.5,5862,6001.325,5976.46175438597,51362.203125,7025.6806640625,7.62115710417413,485326.208223186,Mixed Works: 60-80km/h,261267.275426815
11,CMR,17,CMR,60546.01155595,71105.2631578947,68.15,62.6018457736417,90,47.4035087719298,0,0,68.15,47.4035087719298,20073.775390625,43513.72265625,102.687996173472,542076.014783866,Mixed Works: 60-80km/h,291817.587958648
11,CMR,18,CMR,72413.2347656506,90722.1052631579,94.6916666666667,57.4847450404591,90,60.4814035087719,0,0,94.6916666666667,60.4814035087719,15919.9296875,39849.27734375,75.6023748645901,496366.405460292,Upgrade: <60km/h,420256.88995638
9,CMR,19,CMR,46338.1676623705,55142.6315789474,54.425,60.7911418417426,90,36.7617543859649,0,0,54.425,36.7617543859649,15180.203125,23166.201171875,67.0606729186673,557455.76889901,Mixed Works: 60-80km/h,300097.0222573
9,CMR,17,CMR,42145.0291938376,50855.2631578947,54.3416666666667,56.1505742580651,90,33.9035087719298,0,0,54.3416666666667,33.9035087719298,15599.9248046875,29244.154296875,93.1957362178937,550857.004611369,Upgrade: <60km/h,466392.263904292
17,CMR,18,CMR,83511.9872864588,116876.842105263,138.75,50.5413371266003,90,77.9178947368421,0,0,138.75,77.9178947368421,24956.328125,20063.806640625,32.2218775514445,505285.151078486,Upgrade: <60km/h,427808.094579784
15,GAB,20,GAB,53513.929726324,79188.9473684211,79.45,59.8028551555099,90,52.7926315789474,0,0,79.45,52.7926315789474,6361.287109375,7616.107421875,18.5779189918804,395944.584702673,Upgrade: <60km/h,338302.833028948
3,GAB,20,GAB,113544.703238711,145169.473684211,100.775,86.4318374701328,90,96.779649122807,0,0,100.775,96.779649122807,16393.54296875,8647.2919921875,9.88784491165496,421997.283737615,Resurfacing: 80-90km/h,99872.6904845687
15,GAB,21,GAB,63663.8644098679,99448.9473684211,121.2,49.2321521625847,90,66.2992982456141,0,0,121.2,66.2992982456141,35103.828125,4154.90869140625,8.51330064269396,457098.235082539,Upgrade: <60km/h,387009.83903655
13,CMR,22,CMR,90603.9962545735,117528.947368421,117.075,60.2326443912472,90,78.3526315789474,0,0,117.075,78.3526315789474,69477.234375,135699,204.401479461329,975548.790915853,Mixed Works: 60-80km/h,525170.432443034
13,CMR,23,CMR,65998.8493760484,83578.4210526316,97.2333333333333,51.5739314003212,90,55.7189473684211,0,0,97.2333333333333,55.7189473684211,77298.7578125,232137.921875,476.197453650661,1103308.30326503,Upgrade: <60km/h,934134.363431056
19,CMR,24,CMR,73399.3641500062,100330.526315789,147.541666666667,40.8008918087368,90,66.8870175438597,0,0,147.541666666667,66.8870175438597,17043.71484375,9797.6982421875,17.5438099414095,491345.213668972,Upgrade: <60km/h,416005.614239729
19,CMR,25,CMR,33369.7238240628,38276.8421052632,46.9166666666667,48.9508460315977,90,25.5178947368421,0,0,46.9166666666667,25.5178947368421,16066.7177734375,12427.5810546875,50.8776090583237,594528.846058403,Upgrade: <60km/h,503367.756329447
18,CMR,26,CMR,31531.8982468114,38147.3684210526,31.4916666666667,72.680881881868,90,25.4315789473684,0,0,31.4916666666667,25.4315789473684,28999.26171875,5234.18115234375,22.7403826868503,538994.253329007,Mixed Works: 60-80km/h,290158.573042115
