from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km,total_cost,Ijk_orig,Ijk,Qjk_1,Qjk_2,Qjk_3,Qjk_4,Qjk_5,Qjk_6,Qjk_7,Qjk_8,Qjk_9,Qjk_10,Qjk_11,Qjk_12,Qjk_13,Qjk_14,Qjk_15,Qjk_16,Qjk_17,Qjk_18,Qjk_19,Qjk_20
1,GAB,2,GAB,144514.153396232,152.625,24.74138888888883,6.1688129427747,100.0,91.575,0.0,0.0,1484.48333333333,91.575,8439.5654296875,131034.515625,127.729218695731,480717.375007306,Upgrade,407007.377506186,62.11950099188164,6.168812942774717,87.68517605794332,5.229737759607253,5.321613750301898,59.553416238789104,2.282008727561644,41.364758004581155,0.07292039268392062,0.0982071580539148,0.29058947909374155,0.19977692668971364,0.06169715733620742,0.01426317931538194,2.315134915066828,0.05436992048953139,0.02777773356396124,0.028126570762529016,0.05260651220623359,1.7532957361968455,0.028467576231572957,0.0603291467688295,0.11879211351511532
1,GAB,3,GAB,234443.888792812,375.6815,6.65680555555555,56.4357028104071,100.0,225.4089,0.0,0.0,399.408333333333,225.4089,10310.5732421875,22364.046875,9.4520332711395,397772.593564483,Upgrade,336780.795884595,126.5223145691185,56.43570281040711,72.64474188307267,10.851710437149135,11.941500342281481,31.238706602091362,5.379048548246491,9.923605708355476,0.14255798779188508,0.18771036118007023,0.3772167169423714,0.25963996228136127,0.19422004066688942,0.46769241981753185,2.996681396768753,0.25699692082390285,0.1733355839448064,0.1615902843928131,0.375691380755756,2.542171296474739,0.14675211679315528,0.21534525190366532,0.3289785993519678
2,GAB,4,GAB,48259.2005854514,57.539,1.1665277777777783,49.3250148827242,100.0,34.5234,0.0,0.0,69.9916666666667,34.5234,25234.94140625,355568.15625,1026.0552244142,654085.620701547,Upgrade,553792.492193977,31.86466620834924,49.32501488272411,87.6880285246476,10.362128802552158,12.385807292783968,9.84706117038543,9.433733677657807,43.05647273381595,1.3861349443978608,1.8549477048905503,4.591755736469939,3.094454110190326,1.619459249419555,2.908619815519383,0.6454676215090587,1.0996747112826188,0.8113705427294396,0.7415911997851191,1.7802525892147754,1.7716776242701464,0.6541028088433408,0.823120795161869,1.0577885943613234
5,CMR,6,CMR,27144.7026991107,35.682,0.42694444444444496,83.5752765126871,100.0,21.4092,0.0,0.0,25.6166666666667,21.4092,87975.0078125,45126.58203125,206.885917857105,740490.506163646,Resurfacing,175249.419792063,6.253249797020392,83.57527651268695,87.68911064581357,2.171250645347956,9.711584499305856,0.3550813541778366,52.96640445696378,0.45925340653720376,65.1980791835066,0.017725573838025248,2.13550614906289,3.2942717582964427,7.7469985797732965,1.776992923715921,0.25718984679274126,0.0025238162898277433,0.5770135443032518,0.6407629846710156,0.4652600398494006,0.3388924651183156,0.6159207736347156,0.03372063226707409,0.0011384713451949601
5,CMR,7,NGA,357788.364718077,493.932,5.77819444444445,85.4820661971493,100.0,296.3592,1944.0346875,7592.57175,7939.26341666667,7888.93095,27761.794921875,1.015322375e6,297.154516514323,595593.674128547,Resurfacing,140957.169543756,69.6232566670865,85.48206619714917,85.4821581845585,3.8002093768011997,0.026289338093207746,0.04301981187239409,2.276990611600984,0.08790502946021636,32.134427438731954,12.123961227818421,1.2853925974743523,2.042286692990307,9.324143696291156,0.4687125801077006,0.0037932917270696444,3.3467377532224942,4.501340178363634,4.294741615053065,1.5495530045919361,0.012931407244657463,3.738501889467987,2.2279174857424993,1.5034455024604887
5,CMR,8,CMR,71615.5844900317,106.2785,1.6123611111111118,65.9148247049703,100.0,63.7671,0.0,0.0,96.7416666666667,63.7671,21207.6171875,1.095948375e6,1727.77423636841,669569.452880411,Mixed Works,360451.555467287,38.30825063773006,65.91482470497024,87.68855267201155,2.7716755347767768,1.079879520806643,0.09482992533515897,12.885112495992596,0.10236950587694496,70.90057885030944,48.96371717882067,0.023101590817730885,0.012748854238363267,9.381091116673524,0.7922662635080029,0.08694741141606233,2.6578809021054366,3.345467084756839,3.1429950040564916,1.2756341627520917,0.12635126265130975,2.710065364520393,1.8003216995796951,1.1634243569972325
8,CMR,9,CMR,51877.9666250696,64.862,0.895694444444445,72.4153202046829,100.0,38.9172,0.0,0.0,53.7416666666667,38.9172,4752.40625,1.1404265e6,2870.9366368129,584229.311973549,Mixed Works,314510.11294576,20.399754945887885,72.41532020468284,87.68875805215859,17.4946306984668,69.61044413602565,2.3336897320966257,13.0229712773195,2.907376850223779,0.4842496949114325,55.577098024511905,9.997501063186307,15.24355488651248,4.2202193067856,12.403772208602598,1.7662593950841972,1.6408981482749483,0.5069155296319292,0.3702314385314085,4.432218091683099,2.3340714603063093,0.26955394752463047,1.026764736638221,1.5750536792875132
6,CMR,8,CMR,74888.4774409911,99.3025,1.2215277777777784,81.2936895963616,100.0,59.5815,0.0,0.0,73.2916666666667,59.5815,30787.623046875,946803.625,1591.03148193678,695312.25294577,Resurfacing,164557.233197165,16.34094464956148,81.29368959636152,87.68903856013083,6.488591633538531,8.603066573435918,0.44738858095664197,63.99420479353713,0.5340091955637246,9.871806946016322,48.90945272186337,1.089602654897416,1.49194097613805,22.37870957023034,2.8739356279962,0.3620127184959854,2.496065314324693,1.7449010055208236,1.5354287870760768,2.3529295345292196,0.5004902959293483,1.2633204997192047,1.4614450187237875,1.1819750080744094
6,CMR,9,CMR,109718.392696023,153.232,1.8738888888888832,81.7721909279573,100.0,91.9392,0.0,0.0,112.433333333333,91.9392,22228.517578125,37796.69140625,43.0604433107404,492926.613179841,Resurfacing,116659.298452562,17.875937620482983,81.77219092795755,87.68905367815896,3.890424297650261,43.02702390619367,1.081458972390971,32.35575479550869,1.3925457477097603,21.412363253299127,0.06339120174321637,6.597912141886477,10.59004918361758,12.01357713384409,4.885255713908889,0.7753611957469171,0.15529037520786093,0.6245500663305465,0.66844245580414,0.46933321902111375,0.9859171356148808,0.614065399082721,0.06709630476253754,0.03890720848931457
10,GNQ,11,CMR,120387.388709017,293.0025,5.715416666666667,51.2652912444412,100.0,175.8015,1701.2890625,8206.5,8549.425,8382.3015,31886.25,94966.7109375,52.1217373838285,522985.212933671,Upgrade,442794.146950508,129.73979204186622,51.2652912444412,87.6879186656118,2.004894039091534,3.129765948849907,2.3731774038389974,0.49210947518997383,3.2248698368661746,4.331909489702508,7.223476811607749,42.145828293789094,42.757329639040165,3.398704442253705,1.781593099126556,1.4776912364576795,0.39699949200110457,0.43587988643230885,0.402110764863799,0.40722911475037915,1.560654891592038,0.34218018588446697,0.17106941294637293,0.014071224102718221
10,GNQ,12,GNQ,138912.98681351,177.5555,1.6233333333333335,109.377104722793,109.377104722793,97.4,0.0,0.0,97.4,97.4,37873.453125,56312.3125,50.4294961554627,532429.468445389,Nothing,0.0,0.0,109.3771047227926,109.37722242369703,24.768639180260568,15.039589466092433,3.0717761590890156,10.748558654535891,4.309991093996595,2.8326909160070857,4.201868781085421,45.671458606570276,14.50547600772366,1.5446137608872854,1.6857404266284677,1.9012925396545743,0.25278464540211104,0.019971619590796755,0.0054089307088240465,0.8411289008809308,2.213129230782299,0.002848879999634196,0.2562290239202202,0.5509369088225287
