id,from,to,sp_distance,distance,nre_per_link,nre_gain_perc,nre_wtd_per_link,nre_wtd_gain_perc,MA_per_link,MA_gain_perc,from_ctry,to_ctry,border_dist,border_time,MA_per_link_bc,MA_gain_perc_bc,MA_gain_bc_ratio,MA_gain_perc_bc_ratio,total_dist,rugg,pop_wpop,pop_wpop_km2,cost_km,MA_gain_pusd,MA_gain_pusd_bc,consensus,MA_gain_pusd_cons,duration_100kmh,duration_65kmh,total_time_100kmh,total_time_65kmh,MA_per_link_100kmh_bt,MA_per_link_100kmh_bt_perc,MA_per_link_100kmh,MA_per_link_100kmh_perc,MA_gain_100kmh_pusd,MA_gain_100kmh_pusd_bt
1,20,1,162206.8367611,206215.179141117,0.654377565616401,0.0104858357281579,0.676527246458804,0.0106753612689525,21538194.0125678,0.017625234219687,GAB,GAB,0,0,15197634.6393846,0.0202889628012182,0.812232003555111,1.15113152814479,206215.179141117,6267.13671875,25705.90625,23.499331479248,402842.482099188,0.0456890102386624,0.0371100763265988,FALSE,0.0413995432826306,123.72910748467,190.352473053338,123.72910748467,190.352473053338,11746416660.6378,0.169765044400916,19852175438.7482,0.226415271968516,0.53985326358808,0.239641001032732
2,40,3,241324.904098506,306798.772009718,0.654400265691217,0.0139551562400531,0.676461849574335,0.00100777342757485,21535296.3309433,0.00416917404131301,GAB,GAB,0,0,15195407.8531465,0.00563380045026651,0.9534690139023,1.35129893701733,306798.772009718,22103.98828125,6430.2607421875,3.71741535244486,407389.826949478,0.00718321679844028,0.00684897463745529,FALSE,0.00701609571794779,184.079263205831,283.198866470509,184.079263205831,283.198866470509,11732048485.9434,0.0472377473673458,19815281992.7446,0.0401536780498812,0.0636337390440988,0.0443194261977064
3,10,4,162919.60861372,207121.333149232,0.655607267149519,0.198424808917497,0.682785722807807,0.935862705419011,21628852.2511819,0.438617900959026,GNQ,GAB,1632187.5,5862,15205467.0451495,0.0718364243946779,0.11556158875633,0.16377905287862,1839308.83314923,58857.390625,47309.8515625,42.5120735451238,553435.234189521,0.8240004722549,0.0952228037097428,FALSE,0.459611637982321,124.272799889539,191.188922906983,5986.27279988954,6053.18892290698,11732112979.4064,0.047787727435944,20021384390.9453,1.08068974495878,1.86739116467348,0.0488870112379274
4,22,6,124113.601300131,157786.866675977,0.654634025666112,0.0496813942508778,0.676734769022529,0.0413533152751944,21550176.6479729,0.0732693953113373,CMR,CMR,0,0,15209162.5385198,0.0961575982831642,0.926011006676223,1.31238422092294,157786.866675977,78592.2578125,21662.951171875,25.5331996550307,549384.677957938,0.182015326182123,0.168548195428409,FALSE,0.175281760805266,94.6721200055865,145.64941539321,94.6721200055865,145.64941539321,11829404743.1351,0.877461439429705,19924666914.1695,0.592398372494385,1.35360630502159,1.18699637271264
5,16,10,148271.837859224,188499.475214815,0.654544198071202,0.0359527735272369,0.677928417150081,0.217809704881278,21561370.986261,0.125252914960039,GNQ,GNQ,0,0,15199967.6980655,0.0356435366522856,0.200792781685775,0.28457251205417,188499.475214815,35392.453125,30044.166015625,30.1307042247411,506056.716451112,0.282755622271031,0.0567752879330926,FALSE,0.169765455102062,113.099685128889,173.999515582906,113.099685128889,173.999515582906,11733890687.8828,0.0629474689588072,19859307401.6732,0.262421959499193,0.544899917704183,0.0773815955494034
6,18,10,136818.823151926,173939.142699055,0.654955403029311,0.0987984604814418,0.679557877370615,0.458691972347736,21585413.6876518,0.236900804096929,CMR,GNQ,1701289.0625,8206.5,15199269.3176858,0.0310472814431639,0.0924724134299426,0.131056040782626,1875228.20519905,57915.1875,29567.41015625,31.8864782506016,539374.518471454,0.543765350515693,0.0502832943017648,FALSE,0.297024322408729,104.363485619433,160.559208645281,8310.86348561943,8367.05920864528,11727360292.006,0.00725829671834877,19930030964.7254,0.619479513310162,1.30787158670461,0.00907226472435239
7,16,12,77086.8293491119,98001.2596328496,0.658689688627215,0.669520527555889,0.683362420688451,1.02111565690688,21691256.5902734,0.728406998252673,GNQ,GNQ,0,0,15216532.7174462,0.144663003460477,0.140132385956001,0.198601885769219,98001.2596328496,10039.099609375,14751.669921875,28.4812905637034,433035.674859782,3.69616645729181,0.517952624550842,FALSE,2.10705954092133,58.8007557797098,90.4627011995535,58.8007557797098,90.4627011995535,11736180413.5135,0.082473532529237,20086118304.4573,1.40750773615834,6.56933430837842,0.22789143822166
8,28,12,81752.6215349407,103932.928054773,0.65799208099708,0.562903061312459,0.680103459251501,0.539345061573515,21645766.476426,0.517163049201352,GAB,GNQ,1632187.5,5862,15208212.4138937,0.0899045370723606,0.122661782195297,0.17384176462568,1736120.42805477,10175.7861328125,17082.79296875,31.108623678176,436897.795333306,2.45260278791189,0.300840628982426,FALSE,1.37672170844716,62.3597568328638,95.9380874351751,5924.35975683286,5957.93808743518,11732297910.192,0.0493647592978874,20010760328.528,1.02705271686558,4.48007853246804,0.127483140782432
9,45,13,118906.070754416,151166.480841383,0.654377982005513,0.0105494737249856,0.676455032440269,0,21548532.5864187,0.0656348121941486,CMR,CMR,0,0,15208685.8844461,0.0930205918134863,0.999999999999736,1.41724473193174,151166.480841383,79843.140625,92700.671875,113.988900583566,623495.207712661,0.149961014688285,0.149961014688246,FALSE,0.149961014688266,90.69988850483,139.538290007431,90.69988850483,139.538290007431,11765981982.4911,0.336611985870916,19850358430.3055,0.217241857030093,0.45654205672331,0.418802919095049
10,53,14,119299.180087683,151666.244681184,0.654522075034245,0.032571643441992,0.676455032440269,0,21535375.1674892,0.00453526992185704,NGA,NGA,0,0,15194687.6181826,0.000893713527760909,0.139043387742925,0.197058508789916,151666.244681184,117632.6640625,67953.078125,83.8738402563239,636528.688914853,0.0101164693404922,0.00140662816909948,FALSE,0.00576154875479586,90.9997468087102,139.999610474939,90.9997468087102,139.999610474939,11726620625.0133,0.000950648095932038,19813020553.9414,0.0287364958222014,0.058959365253535,0.0011547330957398
