from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,sp_distance,distance,duration,from_ctry,to_ctry,border_dist,border_time,total_dist,total_time,rugg,pop_wpop,pop_wpop_km2,cost_km,speed_kmh,speed_kmh_imp,duration_imp,MA_100_min_speed,MA_100_min_speed_perc,MA_100_min_speed_bt,MA_100_min_speed_bt_perc,MA_100_min_speed_bt_ratio,MA_100_min_speed_bt_perc_ratio,total_time_imp,upgrade_cat,ug_cost_km,MA_gain_pusd,MA_gain_pusd_bt,consensus,MA_gain_pusd_cons
1,2,46,6.48243976482947,4.23936728417438,0.0283022140883286,0.811738489973018,144514.153396232,160657.894736842,674.333333333333,GAB,GAB,0,0,160657.894736842,674.333333333333,8439.5654296875,131034.515625,127.729218695731,480717.375007306,14.2948200952208,100,96.3947368421053,19888409431.3373,0.409347525383441,11774684785.6611,0.410826767617478,0.594168197708516,1.00361365866974,96.3947368421053,Upgrade,407007.377506186,1.23997726720302,0.736755058053548,FALSE,0.988366162628282
1,3,11.6666666666667,1.81397254256075,1.19448606702129,0.0238995235882658,0.258630709017018,234443.888792812,395454.210526316,374.508333333333,GAB,GAB,0,0,395454.210526316,374.508333333333,10310.5732421875,22364.046875,9.4520332711395,397772.593564483,63.355740099007,100,237.272526315789,19823865029.1489,0.0834863079479442,11732446645.6701,0.0506331289063855,0.359056133539753,0.60648422658667,237.272526315789,Mixed Works,214134.246202213,0.195280478023024,0.0701166533947417,FALSE,0.132698565708883
2,4,97,50.7777401411483,27.250727237124,0.587349627342047,1.70567336873013,48259.2005854514,60567.3684210526,63.3416666666667,GAB,GAB,0,0,60567.3684210526,63.3416666666667,25234.94140625,355568.15625,1026.0552244142,654085.620701547,57.3720632326771,100,36.3404210526316,19880378592.3559,0.368802739487339,11783051371.0084,0.482174388995782,0.774021171874606,1.3074045753186,36.3404210526316,Upgrade,553792.492193977,2.17788165718739,1.68572651250039,TRUE,1.93180408484389
5,6,3,0.271112196242487,0.184621721360066,0.00456970522048221,-0.566850944825747,27144.7026991107,37560,63.1416666666667,CMR,CMR,0,0,37560,63.1416666666667,87975.0078125,45126.58203125,206.885917857105,740490.506163646,35.6911706480137,100,22.536,19859459964.103,0.263192191733697,11774742588.1382,0.411319689051459,0.925229215495624,1.56281113942636,22.536,Upgrade,626948.628551887,2.21381521222276,2.04828651205714,TRUE,2.13105086213995
5,7,9,11.6424618725603,8.16351900131657,0.197244319291248,1.06604482435321,357788.364718077,519928.421052632,539.925,CMR,NGA,1944034.6875,7592.57175,2463963.10855263,8132.49675,27761.794921875,1015322.375,297.154516514323,595593.674128547,57.77784926269,100,311.957052631579,19870870871.0833,0.320801711917684,11739944396.609,0.114571602366786,0.211438052300716,0.357141493048469,7904.52880263158,Upgrade,504269.310762169,0.242357513283481,0.0512436005691042,FALSE,0.146800556926293
5,8,6,11.3713496763178,7.97889727995651,0.192674614070766,1.05581201457252,71615.5844900317,111872.105263158,190.125,CMR,CMR,0,0,111872.105263158,190.125,21207.6171875,1095948.375,1727.77423636841,669569.452880411,35.3048063946849,100,67.1232631578947,20019479139.6421,1.07107082390352,11914138309.7923,1.60004277709571,0.88441529393967,1.49387205905241,67.1232631578947,Upgrade,566902.136772081,3.3451391749827,2.95849224671143,TRUE,3.15181571084707
8,9,34.375,170.950801761416,128.070326079153,2.99445247139388,2.23287114198399,51877.9666250696,68275.7894736842,96.8333333333333,CMR,CMR,0,0,68275.7894736842,96.8333333333333,4752.40625,1140426.5,2870.9366368129,584229.311973549,42.3051363348129,100,40.9654736842105,20413993084.6569,3.06282828170155,12272450395.4694,4.65561610399092,0.899906425542953,1.52003823779651,40.9654736842105,Upgrade,494647.484137604,17.9632957618806,16.1652852800448,TRUE,17.0642905209627
6,8,13,45.8210446781787,32.6998403550078,0.720671319593308,1.66106498648578,74888.4774409911,104528.947368421,155.458333333333,CMR,CMR,0,0,104528.947368421,155.458333333333,30787.623046875,946803.625,1591.03148193678,695312.25294577,40.3435229725345,100,62.7173684210526,20048164947.684,1.21589503816106,11950018401.4504,1.90601696948121,0.928054575793617,1.56758347526765,62.7173684210526,Upgrade,588697.707494084,3.9137499188581,3.63217352070816,TRUE,3.77296171978313
6,9,3,0.271112196242487,0.184621721360066,0.00456970522048221,-0.566850944825747,109718.392696023,161296.842105263,211.558333333333,CMR,CMR,0,0,161296.842105263,211.558333333333,22228.517578125,37796.69140625,43.0604433107404,492926.613179841,45.745352470079,100,96.7781052631579,19881447760.7561,0.374200581975859,11789449937.3686,0.536739360377547,0.849184044232782,1.43436270874687,96.7781052631579,Upgrade,417344.532492265,1.10105692441919,0.934999972008798,FALSE,1.01802844821399
10,11,2,6.82427584968708,3.48847598805531,0.0582068027287218,0.834056573490011,120387.388709017,308423.684210526,459.808333333333,GNQ,CMR,1701289.0625,8206.5,2009712.74671053,8666.30833333333,31886.25,94966.7109375,52.1217373838285,522985.212933671,40.2459453452669,100,185.054210526316,19867005130.9394,0.301284995566387,11726985262.9955,0.00406016668843545,0.00797827863612825,0.0134761662485141,8391.55421052632,Upgrade,442794.146950508,0.436972210373628,0.00348628605060565,FALSE,0.220229248212117
